,gemini,gpt,index,gemini_percent_diff,gpt_percent_diff,gemini_real_diff,gpt_real_diff
lemmaRate,0.42918629279021514,0.4728380413463881,0.5258019362063266,18.374912065405397,10.072974482002534,0.09661564341611151,0.05296389485993852
allUpperRate,0.005005919615532963,0.0005752928033312719,0.00894528833582954,44.03847670865782,93.56876176895284,0.003939368720296577,0.00836999553249827
firstUpperRate,0.08360407300140292,0.05959060724221769,0.09128561638881322,8.414845285912588,34.72070453202271,0.007681543387410297,0.03169500914659553
declarSentRate,0.9383695538419013,0.7914638519389021,0.9692236356234747,3.1833810740413657,18.340430128927327,0.03085408178157334,0.17775978368457257
imperSentRate,0.018004099579844744,0.1443645836206566,0.015067368668233277,-19.490668717776938,-858.1273731293393,-0.002936730911611467,-0.12929721495242333
questionRate,0.043626346578253664,0.06417156444044161,0.015708995708292466,-177.71569480551952,-308.5020177742281,-0.027917350869961197,-0.048462568732149144
nounRate,0.18290894942081554,0.17871396301645404,0.20335187636210741,10.05298171180348,12.115901651077367,0.020442926941291878,0.02463791334565338
verbRate,0.15376881244523605,0.13320745756783847,0.11897499071770858,-29.244651768944124,-11.962570254701012,-0.03479382172752747,-0.014232466850129896
adjRate,0.09098329773587273,0.09978423916947905,0.08060397418726878,-12.8769377108993,-23.79568151025456,-0.01037932354860395,-0.019180264982210274
infRate,0.02857723817930157,0.018198469394898744,0.014420458123821528,-98.17150005861528,-26.198968428306873,-0.014156780055480043,-0.0037780112710772158
partPastRate,0.0015485963995550145,0.0033815486852910867,0.0032738978672643628,52.69869548957536,-3.288154438265234,0.0017253014677093483,-0.00010765081802672398
partPresRate,0.0029638552102746827,0.006690865995696572,0.004426913243191328,33.0491688574845,-51.14066231108647,0.0014630580329166457,-0.0022639527525052435
partFutRate,1.1047282368536291e-05,2.5407053701136002e-05,4.854720383270301e-05,77.24424581360859,47.66525835619607,3.749992146416672e-05,2.3140150131567008e-05
transRate,0.0011510659171303519,0.002795781417177155,0.0027832526624055214,58.643139637365735,-0.4501479488680403,0.0016321867452751696,-1.252875477163358e-05
xRate,0.022049318703561756,0.01049523808120305,0.05925155782406989,62.78693841429328,82.28698372392913,0.037202239120508136,0.048756319742866844
advRate,0.08132875731967042,0.09968647119912952,0.10221509016386165,20.433707792761542,2.4738215861067996,0.020886332844191238,0.0025286189647321378
properNounRate,0.009859782547729406,0.004185541053368995,0.0501614171746882,80.34389157429005,91.65585565736158,0.04030163462695879,0.045975876121319204
numRate,0.002592018064974914,0.002539865169364931,0.012590872459364608,79.41351504162787,79.82772696997755,0.009998854394389694,0.010051007289999678
conjRate,0.09876244757240167,0.09304011772921209,0.07495741133187486,-31.758082112961073,-24.123973968732482,-0.02380503624052681,-0.018082706397337223
punctRate,0.1695705190806641,0.17485315901533283,0.18153208333529613,6.589228765990978,3.679197746894746,0.011961564254632046,0.006678924319963309
pronRate,0.05810156019519064,0.0733944938967012,0.0616302934553549,5.725647343737679,-19.088340784663487,0.0035287332601642643,-0.011764200441346302
relPronRate,0.011691243721294214,0.018267850942185863,0.01148414175510999,-1.8033734744877377,-59.070232079444594,-0.0002071019661842241,-0.006783709187075873
demPronRate,0.03234879617788766,0.04508944019647327,0.04096182840666864,21.026972095266057,-10.076727407833793,0.00861303222878098,-0.004127611789804628
adposRate,0.006535525987207979,0.007492082517239057,0.008443679907140567,22.59860559516141,11.26993680914849,0.0019081539199325877,0.0009515973899015097
multiplePunctRate,0.0018116510727486008,0.005677584990859745,0.040165395064552516,95.48952258570598,85.86448612858179,0.03835374399180391,0.03448781007369277
partsDensityRate,3.382871917769549,3.485395183671599,4.07131928173348,16.90968740901119,14.391504510361253,0.688447363963931,0.5859240980618812
phraseRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
pastTenseRate,0.10305400837329559,0.08108149102794983,0.25699515889297453,59.90040870139022,68.45018739760926,0.15394115051967894,0.17591366786502471
presentTenseRate,0.7190703352239622,0.7871436089947862,0.6141419302742304,-17.085367368236625,-28.169657564873656,-0.10492840494973188,-0.17300167872055583
condRate,0.02182552802325287,0.04687907336324135,0.048070715383789896,54.597039280566364,2.4789354829331014,0.026245187360537027,0.0011916420205485487
impRate,0.11054215753728344,0.10656666141159198,0.06897645144728236,-60.260719735298515,-54.49716414164803,-0.041565706090001084,-0.03759020996430962
freqRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
causRate,0.0010186740866257257,0.0018013252645200884,0.002205533526854455,53.8128042842058,18.327006024290675,0.0011868594402287293,0.00040420826233436655
modalRate,0.054986950977050676,0.03781732708970284,0.04191064132177592,-31.200452302505273,9.766765916670126,-0.01307630965527476,0.004093314232073077
sg1VerbRate,0.31467287719194514,0.2951926075645502,0.25633244558429386,-22.759675028523176,-15.160063678898316,-0.05834043160765129,-0.038860161980256325
sg2VerbRate,0.017110072309799586,0.031742851681193514,0.0457463784142857,62.597974084749744,30.611224797456664,0.028636306104486114,0.014003526733092186
sg3VerbRate,0.5752045997901801,0.7996612690931609,0.9042560780491256,36.389191761790855,11.566945635756323,0.32905147825894543,0.10459480895596462
pl1VerbRate,0.16857446063898568,0.14879061533151025,0.048497278170199276,-247.59571464481013,-206.80199166917262,-0.1200771824687864,-0.10029333716131097
pl2VerbRate,0.007978597355911651,0.010214575984102107,0.007877385643027023,-1.284838872579762,-29.669619426896283,-0.00010121171288462842,-0.0023371903410750842
pl3VerbRate,0.19023057625911563,0.22036148956800505,0.1723018806319131,-10.405397527554234,-27.89267810649221,-0.017928695627202534,-0.04805960893609196
superlatRate,0.0254875591088132,0.02275119439678704,0.013536210402109648,-88.29168838008687,-68.07654225913346,-0.011951348706703554,-0.009214983994677392
comparatRate,0.061217649993255165,0.031451352518793836,0.03891348786607106,-57.31730397426353,19.17621821246075,-0.022304162127184106,0.0074621353472772226
specDerivSuffixRate,0.0,0.0,0.0,no_index_and_gemini,no_index_and_gpt,0.0,0.0
pluralNounRate,0.22394126618754853,0.21064203279406293,0.12802232438707983,-74.92360590989938,-64.53539162215148,-0.0959189418004687,-0.0826197084069831
subjRate,0.059182172026366796,0.06663492703892561,0.06576078409532861,10.003852842486305,-1.3292769476863586,0.006578612068961813,-0.0008741429435970005
